strategy,n_decisions,mean_potential_saving,median_potential_saving,mean_regret,median_regret,decision_counts,opportunity_capture_if_defined
PRICEIQ_RESEARCH_V1,2039,22.98300637567435,0.0,22.151326326326327,0.0,"{'BUY': 1998, 'WATCH': 41}",
BUY_NOW,2039,22.98300637567435,0.0,22.98300637567435,0.0,{'BUY': 2039},
30_DAY_AVERAGE,2039,22.98300637567435,0.0,15.58067189798921,0.0,"{'BUY': 1580, 'WAIT': 459}",
EMA_ONLY,2039,22.98300637567435,0.0,12.262471799901913,0.0,"{'BUY': 1351, 'WAIT': 688}",
14_OBSERVATION_SLOPE_ONLY,2039,22.98300637567435,0.0,35.45221186856302,0.0,"{'WAIT': 536, 'BUY': 1503}",
